iter	Passed	Remaining
0	0	79
1	1	73
2	2	69
3	2	66
4	3	64
5	4	62
6	4	63
7	5	62
8	6	61
9	6	61
10	7	60
11	8	59
12	8	59
13	9	57
14	10	57
15	10	57
16	11	56
17	12	55
18	12	55
19	13	54
20	14	53
21	15	53
22	15	52
23	16	52
24	17	51
25	18	51
26	19	51
27	19	51
28	20	50
29	21	50
30	22	49
31	22	48
32	23	47
33	24	47
34	24	46
35	25	45
36	26	44
37	26	43
38	27	42
39	28	42
40	28	41
41	29	40
42	30	40
43	30	39
44	31	38
45	32	37
46	32	37
47	33	36
48	34	35
49	34	34
50	35	34
51	36	33
52	36	32
53	37	32
54	38	31
55	38	30
56	39	29
57	40	29
58	40	28
59	41	27
60	42	26
61	42	26
62	43	25
63	44	24
64	44	24
65	45	23
66	45	22
67	46	21
68	47	21
69	47	20
70	48	19
71	49	19
72	50	18
73	50	17
74	51	17
75	52	16
76	53	15
77	53	15
78	54	14
79	54	13
80	55	13
81	56	12
82	56	11
83	57	10
84	58	10
85	58	9
86	59	8
87	60	8
88	60	7
89	61	6
90	61	6
91	62	5
92	63	4
93	63	4
94	64	3
95	64	2
96	65	2
97	66	1
98	67	0
99	67	0
