iter	Passed	Remaining
0	139	139424
1	140	69998
2	140	46848
3	141	35262
4	142	28335
5	143	23699
6	143	20400
7	144	17976
8	145	16046
9	146	14487
10	147	13218
11	147	12153
12	148	11249
13	148	10481
14	149	9821
15	150	9241
16	151	8731
17	151	8272
18	152	7863
19	152	7492
20	153	7160
21	154	6857
22	154	6579
23	155	6329
24	156	6099
25	157	5887
26	157	5687
27	158	5502
28	159	5329
29	159	5168
30	160	5016
31	161	4876
32	162	4747
33	162	4623
34	163	4504
35	163	4391
36	164	4284
37	165	4183
38	165	4087
39	166	3996
40	167	3911
41	168	3836
42	168	3757
43	169	3682
44	170	3609
45	170	3541
46	171	3474
47	171	3411
48	172	3352
49	173	3296
50	174	3243
51	174	3188
52	175	3137
53	176	3086
54	176	3040
55	177	2993
56	178	2948
57	179	2907
58	179	2867
59	180	2829
60	181	2789
61	181	2751
62	182	2714
63	183	2678
64	183	2644
65	184	2611
66	185	2580
67	186	2551
68	186	2521
69	187	2491
70	188	2461
71	188	2433
72	189	2405
73	190	2377
74	190	2351
75	191	2328
76	192	2304
77	192	2280
78	193	2256
79	194	2233
80	194	2211
81	195	2188
82	195	2163
83	196	2142
84	197	2121
85	197	2103
86	198	2084
87	199	2065
88	199	2046
89	200	2028
90	201	2010
91	201	1992
92	202	1974
93	203	1957
94	203	1942
95	204	1927
96	205	1910
97	205	1894
98	206	1879
99	207	1864
100	207	1849
101	208	1834
102	208	1819
103	209	1807
104	210	1794
105	211	1781
106	211	1768
107	212	1754
108	213	1741
109	213	1729
110	214	1716
111	214	1704
112	215	1692
113	216	1681
114	217	1670
115	217	1658
116	218	1646
117	218	1635
118	219	1624
119	220	1613
120	220	1603
121	221	1592
122	221	1582
123	222	1573
124	223	1563
125	223	1553
126	224	1543
127	225	1534
128	225	1524
129	226	1515
130	227	1506
131	227	1497
132	228	1489
133	229	1480
134	229	1472
135	230	1463
136	231	1455
137	231	1447
138	232	1438
139	232	1430
140	233	1422
141	233	1413
142	234	1406
143	235	1399
144	236	1391
145	236	1384
146	237	1377
147	237	1370
148	238	1362
149	239	1356
150	239	1348
151	240	1342
152	241	1336
153	241	1329
154	242	1322
155	243	1315
156	243	1309
157	244	1302
158	245	1296
159	245	1289
160	246	1282
161	246	1276
162	247	1270
163	248	1264
164	248	1258
165	249	1252
166	250	1247
167	250	1241
168	251	1235
169	251	1229
170	252	1224
171	253	1219
172	254	1214
173	254	1209
174	255	1203
175	255	1198
176	256	1192
177	257	1187
178	257	1182
179	258	1177
180	259	1172
181	259	1168
182	260	1163
183	261	1158
184	261	1153
185	262	1148
186	263	1143
187	263	1138
188	264	1134
189	265	1130
190	265	1125
191	266	1121
192	267	1117
193	267	1112
194	268	1108
195	269	1103
196	269	1099
197	270	1095
198	271	1091
199	272	1088
200	272	1084
201	273	1080
202	274	1076
203	274	1072
204	275	1068
205	276	1065
206	277	1061
207	278	1058
208	278	1054
209	279	1051
210	280	1047
211	280	1043
212	281	1039
213	282	1036
214	282	1032
